Data for 81CORBR.txt
3
Xlocation
Ylocation
Velocity
  11.111  11.111 1.32432
  33.333  11.111 1.05877
  55.556  11.111 1.05297
  77.778  11.111 1.02896
     100  11.111 1.12064
 122.222  11.111 1.07475
 144.444  11.111 1.25121
 166.667  11.111 1.17758
 188.889  11.111 1.36303
  11.111  33.333 1.34718
  33.333  33.333 1.23558
  55.556  33.333  1.1278
  77.778  33.333 1.41966
     100  33.333 1.28095
 122.222  33.333 1.36204
 144.444  33.333 1.41482
 166.667  33.333 1.35826
 188.889  33.333 1.11877
  11.111  55.556 1.22052
  33.333  55.556 1.17809
  55.556  55.556 1.20951
  77.778  55.556 1.32595
     100  55.556  1.2363
 122.222  55.556 1.29893
 144.444  55.556 1.20511
 166.667  55.556 1.25308
 188.889  55.556 1.37633
  11.111  77.778 1.24929
  33.333  77.778 1.40453
  55.556  77.778 1.00265
  77.778  77.778 1.07609
     100  77.778 1.13386
 122.222  77.778 1.23937
 144.444  77.778 1.17728
 166.667  77.778 1.22281
 188.889  77.778  1.4517
  11.111     100 1.30461
  33.333     100  1.1643
  55.556     100 1.24018
  77.778     100 1.09888
     100     100 1.01905
 122.222     100 1.12736
 144.444     100 1.47684
 166.667     100 1.26728
 188.889     100 1.55522
  11.111 122.222 1.20592
  33.333 122.222 1.23158
  55.556 122.222 1.22563
  77.778 122.222 1.10189
     100 122.222  1.0893
 122.222 122.222 1.14477
 144.444 122.222 1.37564
 166.667 122.222 1.19064
 188.889 122.222 1.27166
  11.111 144.444  1.0881
  33.333 144.444 1.45144
  55.556 144.444 1.10776
  77.778 144.444 1.18904
     100 144.444 1.09946
 122.222 144.444 1.41561
 144.444 144.444 1.37255
 166.667 144.444 1.40406
 188.889 144.444 1.37543
  11.111 166.667 1.10123
  33.333 166.667 1.21894
  55.556 166.667 1.21787
  77.778 166.667 1.25855
     100 166.667 1.24927
 122.222 166.667 1.33354
 144.444 166.667 1.38881
 166.667 166.667 1.36506
 188.889 166.667 1.37824
  11.111 188.889 1.17463
  33.333 188.889 1.35295
  55.556 188.889 1.48357
  77.778 188.889 1.33874
     100 188.889 1.09083
 122.222 188.889 1.28969
 144.444 188.889 1.32682
 166.667 188.889 1.48845
 188.889 188.889 1.48193
