Data for 81WCORCL.txt
3
Xlocation
Ylocation
Velocity
  11.111  11.111  1.2231
  33.333  11.111 1.20714
  55.556  11.111 0.93093
  77.778  11.111 0.96614
     100  11.111 1.11389
 122.222  11.111 1.00182
 144.444  11.111  1.0556
 166.667  11.111  0.9589
 188.889  11.111 1.11901
  11.111  33.333 1.18148
  33.333  33.333 1.27544
  55.556  33.333 0.99327
  77.778  33.333  1.3379
     100  33.333  1.3081
 122.222  33.333 1.23807
 144.444  33.333 1.23779
 166.667  33.333 0.97838
 188.889  33.333 1.11365
  11.111  55.556 1.25236
  33.333  55.556 1.08244
  55.556  55.556 1.11808
  77.778  55.556 1.26963
     100  55.556 1.12139
 122.222  55.556 1.06546
 144.444  55.556 1.31976
 166.667  55.556 1.14601
 188.889  55.556 1.06709
  11.111  77.778 1.08762
  33.333  77.778 1.04987
  55.556  77.778 0.93824
  77.778  77.778 1.11238
     100  77.778 1.23235
 122.222  77.778 1.19187
 144.444  77.778 1.37054
 166.667  77.778 1.43828
 188.889  77.778 1.47181
  11.111     100 1.34621
  33.333     100 1.34334
  55.556     100 1.23813
  77.778     100 1.26573
     100     100  0.8931
 122.222     100 1.34582
 144.444     100 1.59031
 166.667     100 1.33444
 188.889     100 1.34614
  11.111 122.222 1.12528
  33.333 122.222 1.16597
  55.556 122.222 1.31895
  77.778 122.222 1.11853
     100 122.222 1.27463
 122.222 122.222 1.32625
 144.444 122.222 1.32283
 166.667 122.222 1.38808
 188.889 122.222  1.1145
  11.111 144.444 1.07961
  33.333 144.444 1.34693
  55.556 144.444 1.32536
  77.778 144.444 1.28341
     100 144.444 1.14271
 122.222 144.444 1.33759
 144.444 144.444 1.18534
 166.667 144.444 1.36633
 188.889 144.444 1.25495
  11.111 166.667 1.06964
  33.333 166.667 1.30115
  55.556 166.667 1.12957
  77.778 166.667 1.18367
     100 166.667 1.26422
 122.222 166.667  1.3288
 144.444 166.667 1.27487
 166.667 166.667  1.4975
 188.889 166.667 1.38793
  11.111 188.889 1.24329
  33.333 188.889  1.1392
  55.556 188.889   1.216
  77.778 188.889 1.30915
     100 188.889  1.2627
 122.222 188.889 1.41346
 144.444 188.889 1.46261
 166.667 188.889 1.54524
 188.889 188.889  0.9959
