Data for 81CORNO3.txt
3
Xlocation
Ylocation
Velocity
  11.111  11.111 1.28875
  33.333  11.111 1.21088
  55.556  11.111 0.94164
  77.778  11.111  0.9506
     100  11.111 1.14425
 122.222  11.111 0.95662
 144.444  11.111 1.12572
 166.667  11.111 1.01534
 188.889  11.111 1.26003
  11.111  33.333 1.28548
  33.333  33.333 1.28926
  55.556  33.333 1.05705
  77.778  33.333 1.44236
     100  33.333 1.30134
 122.222  33.333 1.23927
 144.444  33.333 1.31819
 166.667  33.333 1.12107
 188.889  33.333 1.16903
  11.111  55.556 1.20317
  33.333  55.556 1.16886
  55.556  55.556 1.15751
  77.778  55.556 1.33666
     100  55.556 1.19335
 122.222  55.556 1.16259
 144.444  55.556 1.32998
 166.667  55.556 1.16911
 188.889  55.556 1.26128
  11.111  77.778 1.17261
  33.333  77.778 1.25609
  55.556  77.778 0.90088
  77.778  77.778 1.01701
     100  77.778 1.19153
 122.222  77.778 1.19829
 144.444  77.778 1.24616
 166.667  77.778 1.35147
 188.889  77.778 1.61648
  11.111     100 1.30852
  33.333     100 1.33568
  55.556     100 1.30669
  77.778     100 1.28107
     100     100 1.10204
 122.222     100 1.33345
 144.444     100  1.6003
 166.667     100 1.25459
 188.889     100 1.41709
  11.111 122.222 1.23901
  33.333 122.222 1.29652
  55.556 122.222 1.20582
  77.778 122.222 1.03833
     100 122.222 1.27363
 122.222 122.222 1.07097
 144.444 122.222 1.32891
 166.667 122.222 1.24569
 188.889 122.222 1.05434
  11.111 144.444 1.06437
  33.333 144.444 1.44234
  55.556 144.444 1.20339
  77.778 144.444 1.25224
     100 144.444  1.0397
 122.222 144.444 1.44276
 144.444 144.444 1.22073
 166.667 144.444 1.56072
 188.889 144.444 1.21345
  11.111 166.667  1.0398
  33.333 166.667 1.10297
  55.556 166.667 1.19505
  77.778 166.667 1.25187
     100 166.667 1.11063
 122.222 166.667 1.26665
 144.444 166.667 1.27628
 166.667 166.667 1.56175
 188.889 166.667 1.39268
  11.111 188.889 1.28556
  33.333 188.889 1.25096
  55.556 188.889 1.38527
  77.778 188.889 1.39138
     100 188.889 1.07751
 122.222 188.889 1.43036
 144.444 188.889 1.46896
 166.667 188.889 1.60875
 188.889 188.889 1.21242
