Data for 81WTDBR.txt
3
Xlocation
Ylocation
Velocity
  11.111  11.111 1.25014
  33.333  11.111 1.18213
  55.556  11.111 1.13317
  77.778  11.111 1.06891
     100  11.111 1.13578
 122.222  11.111 1.12513
 144.444  11.111  1.1855
 166.667  11.111 1.22399
 188.889  11.111 1.19664
  11.111  33.333 1.21182
  33.333  33.333 1.25533
  55.556  33.333 1.21258
  77.778  33.333 1.42553
     100  33.333 1.34785
 122.222  33.333 1.32411
 144.444  33.333 1.30301
 166.667  33.333 1.27094
 188.889  33.333 1.10995
  11.111  55.556 1.19808
  33.333  55.556 1.16175
  55.556  55.556 1.17282
  77.778  55.556 1.29349
     100  55.556 1.18813
 122.222  55.556 1.17658
 144.444  55.556 1.19152
 166.667  55.556 1.17032
 188.889  55.556 1.20569
  11.111  77.778 1.16539
  33.333  77.778 1.26959
  55.556  77.778 1.00252
  77.778  77.778 1.09898
     100  77.778 1.12114
 122.222  77.778  1.2164
 144.444  77.778 1.25093
 166.667  77.778 1.29452
 188.889  77.778 1.43015
  11.111     100  1.2613
  33.333     100  1.2364
  55.556     100 1.17698
  77.778     100 1.20904
     100     100 0.93996
 122.222     100 1.19467
 144.444     100 1.46538
 166.667     100 1.41382
 188.889     100  1.3876
  11.111 122.222 1.23872
  33.333 122.222 1.22533
  55.556 122.222 1.23817
  77.778 122.222 1.38528
     100 122.222 1.16969
 122.222 122.222   1.183
 144.444 122.222 1.31009
 166.667 122.222 1.16978
 188.889 122.222 1.22893
  11.111 144.444 1.08051
  33.333 144.444 1.14218
  55.556 144.444 1.12629
  77.778 144.444 1.21726
     100 144.444 1.16759
 122.222 144.444 1.36922
 144.444 144.444 1.34047
 166.667 144.444 1.33485
 188.889 144.444  1.2616
  11.111 166.667 1.11865
  33.333 166.667 1.17283
  55.556 166.667 1.17507
  77.778 166.667 1.27342
     100 166.667 1.27238
 122.222 166.667 1.36036
 144.444 166.667 1.37272
 166.667 166.667 1.41473
 188.889 166.667 1.29738
  11.111 188.889 1.18739
  33.333 188.889  1.3298
  55.556 188.889 1.37259
  77.778 188.889 1.30928
     100 188.889 1.11949
 122.222 188.889 1.22921
 144.444 188.889 1.31579
 166.667 188.889 1.38546
 188.889 188.889 1.32058
