Data for 81WTDCL.txt
3
Xlocation
Ylocation
Velocity
  11.111  11.111 1.22624
  33.333  11.111 1.22682
  55.556  11.111 0.99835
  77.778  11.111 0.98998
     100  11.111 1.06923
 122.222  11.111 1.04679
 144.444  11.111 1.08678
 166.667  11.111 1.00933
 188.889  11.111 1.07426
  11.111  33.333 1.18471
  33.333  33.333 1.18935
  55.556  33.333 1.05033
  77.778  33.333 1.26868
     100  33.333 1.27888
 122.222  33.333 1.16923
 144.444  33.333 1.18765
 166.667  33.333 1.07364
 188.889  33.333 1.10586
  11.111  55.556 1.23563
  33.333  55.556   1.127
  55.556  55.556 1.15628
  77.778  55.556 1.26734
     100  55.556 1.13097
 122.222  55.556 1.04456
 144.444  55.556  1.2199
 166.667  55.556 1.12775
 188.889  55.556 1.11162
  11.111  77.778 1.11148
  33.333  77.778 1.05523
  55.556  77.778  0.9878
  77.778  77.778 1.15314
     100  77.778 1.13497
 122.222  77.778 1.13258
 144.444  77.778 1.38406
 166.667  77.778 1.41081
 188.889  77.778 1.47063
  11.111     100 1.24536
  33.333     100 1.26287
  55.556     100 1.17256
  77.778     100  1.2454
     100     100 1.04688
 122.222     100 1.23915
 144.444     100 1.53711
 166.667     100 1.37469
 188.889     100 1.34714
  11.111 122.222 1.12017
  33.333 122.222 1.15911
  55.556 122.222 1.36824
  77.778 122.222  1.3842
     100 122.222 1.25412
 122.222 122.222 1.34031
 144.444 122.222 1.39678
 166.667 122.222 1.39338
 188.889 122.222 1.16268
  11.111 144.444 1.12934
  33.333 144.444  1.2392
  55.556 144.444 1.19792
  77.778 144.444  1.1886
     100 144.444 1.16232
 122.222 144.444 1.31261
 144.444 144.444 1.21361
 166.667 144.444 1.38516
 188.889 144.444  1.2366
  11.111 166.667 1.07675
  33.333 166.667 1.21007
  55.556 166.667 1.10249
  77.778 166.667 1.22404
     100 166.667 1.37563
 122.222 166.667 1.32075
 144.444 166.667 1.27693
 166.667 166.667 1.46094
 188.889 166.667 1.32438
  11.111 188.889 1.22651
  33.333 188.889  1.1564
  55.556 188.889 1.15985
  77.778 188.889 1.37852
     100 188.889 1.34638
 122.222 188.889 1.39482
 144.444 188.889 1.44137
 166.667 188.889 1.48494
 188.889 188.889 1.02061
