81mclvdc											
12											
x											
y											
wv											
wd											
wc											
wvm											
wdm											
cv											
cd											
cc											
cvm											
cdm											
11.111	11.111	1.22624	0.37891	1156.85457	1.174747642	0.362998784	1.2231	0.37159	1072.62681	1.024531922	0.311263034
33.333	11.111	1.22682	0.40893	1219.47374	1.238921064	0.412963589	1.20714	0.37675	1384.65669	1.3053129	0.407389893
55.556	11.111	0.99835	0.77683	1662.19528	1.374216642	1.069297054	0.93093	0.26584	1689.72698	1.228424431	0.35079367
77.778	11.111	0.98998	0.41662	1304.30224	1.06928875	0.449996039	0.96614	0.42865	1466.15117	1.106200104	0.490790853
100	11.111	1.06923	0.30216	1014.50827	0.898291032	0.253853351	1.11389	0.25847	1128.12831	0.981331374	0.227710744
122.222	11.111	1.04679	0.33591	1414.57078	1.226237476	0.393493853	1.00182	0.48138	2001.04467	1.565529883	0.752245688
144.444	11.111	1.08678	0.45837	1320.53487	1.188452553	0.50125232	1.0556	0.45688	1325.67976	1.092830703	0.472994024
166.667	11.111	1.00933	0.33154	1179.27276	0.985684178	0.323772931	0.9589	0.3688	1300.95342	0.974204085	0.374686064
188.889	11.111	1.07426	0.36949	1258.41913	1.119502463	0.385051072	1.11901	0.24076	1237.47066	1.081393511	0.232666644
11.111	33.333	1.18471	0.34371	1034.96406	1.015377791	0.294583063	1.18148	0.31019	1190.79799	1.098700565	0.28845679
33.333	33.333	1.18935	0.48982	1302.18391	1.282544192	0.528200947	1.27544	0.37522	1293.22723	1.288100516	0.37894458
55.556	33.333	1.05033	0.73496	1265.10898	1.100383438	0.769984492	0.99327	0.42404	1024.36076	0.794575432	0.339214681
77.778	33.333	1.26868	0.38054	1153.79822	1.21219446	0.363597187	1.3379	0.1427	863.68577	0.902390051	0.096248644
100	33.333	1.27888	0.24934	1078.6336	1.142336561	0.222718471	1.3081	0.26079	1383.61905	1.413423668	0.281787905
122.222	33.333	1.16923	0.43917	1337.32747	1.294875614	0.486363268	1.23807	0.35811	1617.36907	1.563756812	0.452314451
144.444	33.333	1.18765	0.40541	1208.29943	1.188374654	0.405657364	1.23779	0.21236	861.57553	0.832827786	0.142883129
166.667	33.333	1.07364	0.45766	1147.41215	1.020160407	0.43486328	0.97838	0.41028	1180.61608	0.902051101	0.378271761
188.889	33.333	1.10586	0.20138	1058.70486	0.969539244	0.176555634	1.11365	0.17053	1332.86837	1.159179959	0.177501871
11.111	55.556	1.23563	0.40453	1141.16476	1.167688848	0.382286906	1.25236	0.21682	982.97879	0.961364798	0.166440253
33.333	55.556	1.127	0.29786	1290.88196	1.204760678	0.318411726	1.08244	0.19143	1433.12505	1.211442486	0.214244148
55.556	55.556	1.15628	0.38915	1518.74929	1.454251225	0.489433238	1.11808	0.2267	1506.54139	1.315433287	0.266715017
77.778	55.556	1.26734	0.29012	921.20598	0.966807983	0.221322086	1.26963	0.23103	974.14761	0.965865883	0.175755137
100	55.556	1.13097	0.40046	1103.81078	1.033798869	0.366053118	1.12139	0.34797	1215.25998	1.064242886	0.330237114
122.222	55.556	1.04456	0.40644	1028.4691	0.889641381	0.346160913	1.06546	0.23153	1036.07415	0.862070669	0.18733244
144.444	55.556	1.2199	0.62906	1122.69793	1.134168262	0.584851124	1.31976	0.29437	739.13535	0.761787453	0.169915267
166.667	55.556	1.12775	0.46844	1302.89547	1.216781916	0.505421699	1.14601	0.27035	1379.12044	1.234256671	0.29116787
188.889	55.556	1.11162	0.73927	986.41399	0.908041948	0.603882775	1.06709	0.289	780.33133	0.650271881	0.176113143
11.111	77.778	1.11148	0.29791	1056.27966	0.972234227	0.260587953	1.08762	0.37617	1519.9264	1.290965464	0.446500137
