81mnvdc											
12											
x											
y											
wv											
wd											
wc											
wvm											
wdm											
cv											
cd											
cc											
cvm											
cdm											
11.111	11.111	1.22441	0.65351	118.87919	1.33987082	0.715135436	1.28875	0.4552	90.91867	1.180736557	0.417048521
33.333	11.111	1.2182	0.48735	121.84566	1.366340318	0.54661464	1.21088	0.66643	131.98803	1.610522922	0.886380806
55.556	11.111	1.01199	0.4049	102.03036	0.95046442	0.380283445	0.94164	0.22042	89.0687	0.845164545	0.197836932
77.778	11.111	0.99256	0.23832	115.16802	1.052249901	0.252651927	0.9506	0.26186	88.90879	0.851674741	0.234609244
100	11.111	1.14171	0.1907	104.27641	1.09590296	0.183048843	1.14425	0.16112	91.53822	1.05549126	0.148622025
122.222	11.111	1.04823	0.20107	113.31025	1.093341937	0.209723308	0.95662	0.16805	82.07869	0.791227057	0.138995324
144.444	11.111	1.0969	0.17878	103.87918	1.048879925	0.170953371	1.12572	0.0994	70.81682	0.803337537	0.070933937
166.667	11.111	1.08389	0.14814	90.40565	0.902009282	0.123281565	1.01534	0.30033	83.46676	0.853996929	0.252605923
188.889	11.111	1.1412	0.31297	96.35144	1.012162392	0.2775819	1.26003	0.10976	56.03299	0.711468932	0.061975374
11.111	33.333	1.2323	0.3162	104.57997	1.186301789	0.304397164	1.28548	0.10573	67.38231	0.872855749	0.07179189
33.333	33.333	1.20958	0.19815	96.85656	1.07843472	0.176666148	1.28926	0.35835	96.20464	1.249878464	0.347403896
55.556	33.333	1.12756	0.33418	93.30977	0.968494154	0.287036944	1.05705	0.29846	96.16797	1.024370909	0.289232999
77.778	33.333	1.33657	0.15987	80.06067	0.985011165	0.117819295	1.44236	0.22202	89.33997	1.298526239	0.199879916
100	33.333	1.31047	0.23146	110.28756	1.3304049	0.234980975	1.30134	0.14926	77.62231	1.017908169	0.116751174
122.222	33.333	1.21332	0.15153	86.42378	0.965247839	0.120548582	1.23927	0.073	68.04273	0.849726033	0.050053661
144.444	33.333	1.21698	0.29896	108.91631	1.220131345	0.299734151	1.31819	0.41075	109.05271	1.448590833	0.451383097
166.667	33.333	1.15977	0.1194	84.45972	0.901678536	0.09282911	1.12107	0.12565	57.84641	0.653492187	0.073243681
188.889	33.333	1.17194	0.18049	105.59543	1.139149502	0.175439949	1.16903	0.11562	84.61011	0.996733772	0.098579471
11.111	55.556	1.21645	0.37857	126.40157	1.415392711	0.440482732	1.20317	0.41111	125.31968	1.519418918	0.519168788
33.333	55.556	1.16181	0.19194	107.78945	1.152767145	0.19044605	1.16886	0.10677	86.15189	1.01474884	0.092692652
55.556	55.556	1.14176	0.22836	115.74439	1.216480071	0.243304538	1.15751	0.12335	85.09228	0.992535775	0.105769529
77.778	55.556	1.31095	0.54767	106.98256	1.291009202	0.539339418	1.33666	0.50305	98.85443	1.331521997	0.50111632
100	55.556	1.2022	0.20245	87.9387	0.973166137	0.163880789	1.19335	0.24322	86.29578	1.03774023	0.211504738
122.222	55.556	1.13088	0.1974	96.27513	1.002214914	0.174940952	1.16259	0.12348	81.82645	0.95863118	0.101817303
144.444	55.556	1.23324	0.41732	114.35754	1.298203067	0.439303059	1.32998	0.4079	119.42568	1.600567855	0.490888305
166.667	55.556	1.14795	0.21203	93.88866	0.992124871	0.183248605	1.16911	0.19542	92.32472	1.087688738	0.181810209
188.889	55.556	1.22417	0.68495	111.06508	1.251553704	0.700271784	1.26128	0.10458	51.75198	0.657763449	0.054538962
11.111	77.778	1.16113	0.25515	102.77562	1.098502818	0.241388125	1.17261	0.68866	92.24686	1.090024961	0.640158782
