Williams Field Omnidirectional Variogram		
	lag (m)	semivariance (lbs/ac)^2
	0	0.00278
	1.803	93.17635
	4.681	120.27171
	9.647	141.76923
	15.865	220.63679
	19.264	215.9808
	25.097	137.32778
	30.726	235
	35.478	295.47214
	39.475	312.71834
	45.433	336.34899
	50.287	327.58992
	76.647	387.21156
	103.839	455.31438
	125.191	548.15603
	149.088	564.47101
	178.206	610.53468
	200.598	575.90202
	223.801	553.96352
	250.857	618.64226
	277.91	564.7266
	299.536	563.65856
	324.649	595.39271
	352.617	628.07774
	374.14	612.02345
	400.076	635.82865
	425.896	652.81267
	450.526	669.12412
	474.169	672.90058
	500.861	643.83636
	525.852	659.28463
	548.736	694.5619
	574.987	646.55543
	600.836	678.69576
	624.92	651.41676
	648.417	664.44808
	675.399	665.8554
	700.595	688.46239
	723.893	669.797
	749.851	698.37649
