Williams Field Omnidirectional Variogram		
	lag (m)	semivariance (lbs/ac)^2
1	0	0.00278
2	1.803	93.17635
3	4.681	120.27171
4	9.647	141.76923
5	15.865	220.63679
6	19.264	215.9808
7	25.097	137.32778
8	30.726	235
9	35.478	295.47214
10	39.475	312.71834
11	45.433	336.34899
12	50.287	327.58992
13	76.647	387.21156
14	103.839	455.31438
15	125.191	548.15603
16	149.088	564.47101
17	178.206	610.53468
18	200.598	575.90202
19	223.801	553.96352
20	250.857	618.64226
21	277.91	564.7266
22	299.536	563.65856
23	324.649	595.39271
24	352.617	628.07774
25	374.14	612.02345
26	400.076	635.82865
27	425.896	652.81267
28	450.526	669.12412
29	474.169	672.90058
30	500.861	643.83636
31	525.852	659.28463			
32	548.736	694.5619			
33	574.987	646.55543			
34	600.836	678.69576			
35	624.92	651.41676			
36	648.417	664.44808			
37	675.399	665.8554			
38	700.595	688.46239			
39	723.893	669.797			
40	749.851	698.37649			
filtered dat	lag	North-South	East-West	NE-SW	SE-NW
1	0	0.00276	0.00276	0.00276	0.00276
2	8.212	121.68222	192.34918	138.79726	133.35897
3	51.945	352.95659	380.30269	384.03707	320.51513
4	108.584	479.14082	516.74279	425.36809	416.36529
5	146.165	528.1803	609.52252	562.57547	592.7754
6	199.393	605.34989	616.58547	565.84433	616.58679
7	249.786	651.17999	621.78194	560.97857	617.2075
8	297.636	608.20465	595.85449	563.98668	573.84968
9	352.869	593.41445	646.70762	701.9541	590.26139
10	402.012	709.08803	577.73045	636.49688	639.32608
11	445.597	616.77786	642.09812	697.87221	644.70313
12	498.592	667.23072	656.33122	686.0316	623.34177
13	553.123	669.2107	726.86208	745.43251	684.638
14	600.68	791.94832	805.08711	757.26266	658.43583
15	648.409	738.49731	689.67013	731.48299	738.40982
16	702.412	649.44479	772.43687	673.76751	732.14044
10 acre	lag	variance	pairs		
3	229.114	150.82476	420		
4	412.843	221.19368	528		
5	582.816	239.53109	584		
6	778.387	242.42597	884		
2.5 acre	lag	variance	pairs
3	115.284	156.72299	1860
4	206.815	241.79171	2576
5	291.595	274.18541	3176
6	390.796	308.54076	5690
7	492.936	325.53144	4506
8	584.338	342.76532	5740
9	677.471	341.41182	5148
10	768.022	336.88057	5448
11	868.352	336.88493	6620
0.625 ac	lag	variance	pairs
3	57.793	123.15263	7808
4	103.482	224.22875	11276
5	145.821	284.84105	14502
6	195.656	324.7022	27582
7	246.563	335.88271	23130
8	292.37	348.57478	31474
9	338.864	364.86725	30178
10	384.217	378.97596	34514
11	434.63	396.83749	46258
12	485.306	404.53058	36278
13	531	415.25432	43984
14	577.513	419.84986	39584
15	625.095	428.94723	48024
16	674.174	433.61977	45232
17	720.001	429.00643	40878
18	768.119	422.76612	50688
19	819.571	415.36881	47102
0.156 ac	lag	variance	pairs
3	28.934	83.61474	31994
4	51.759	158.42794	47102
5	72.915	215.10688	61712
6	97.883	270.31139	120492
7	123.302	311.68568	103368
8	146.223	342.67953	144366
9	169.452	363.96224	141660
10	192.137	378.51705	166354
11	217.38	387.2243	229960
12	242.672	389.23704	185526
13	265.536	395.32528	232534
14	288.773	399.93199	215436
15	312.603	407.38797	271376
16	337.147	414.90589	265114
17	360.03	424.27765	248062
18	384.126	430.62472	321514
19	409.856	440.79563	313170
20	434.305	445.51386	305044
21	457.594	451.77631	308382
22	480.208	456.00224	291392
23	503.855	462.40509	362238
24	529.006	464.24144	343748
25	553.094	471.03094	343184
26	576.407	473.76948	334592
27	600.906	479.53793	378870
28	625.429	482.92597	358448
29	648.998	484.75979	340448
30	672.714	487.30034	378586
31	696.633	486.28952	344124
32	720.716	484.44152	385950
33	744.992	480.68427	359266
34	768.299	474.43788	341412
35	791.474	470.27283	363934
36	816.083	468.38993	378712



















1.572	26.0815
3.145	42.417655
4.717	57.521115
6.289	72.06373
7.861	86.29223
9.434	100.153365
11.006	113.790285
12.578	127.120975
14.15	140.254315
15.723	152.93605
17.295	165.64344
18.867	177.936475
20.439	190.23596
