TIME	Discharge	H-Well	Concentration
  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    
  2988.8896    	  0.0000000    	  159.97147    	 -1.0000000    
  6874.4463    	  0.0000000    	  159.97147    	 -1.0000000    
  11925.670    	  0.0000000    	  159.97147    	 -1.0000000    
  18492.260    	  0.0000000    	  159.97147    	 -1.0000000    
  27028.826    	  0.0000000    	  159.97148    	 -1.0000000    
  38126.363    	  0.0000000    	  159.97148    	 -1.0000000    
  52553.160    	  0.0000000    	  159.97148    	 -1.0000000    
  71308.000    	  0.0000000    	  159.97148    	 -1.0000000    
  95689.281    	  0.0000000    	  159.97148    	 -1.0000000    
  127384.95    	  0.0000000    	  159.97148    	 -1.0000000    
  168589.33    	  0.0000000    	  159.97149    	 -1.0000000    
  222155.00    	  0.0000000    	  159.97149    	 -1.0000000    
  291790.38    	  0.0000000    	  159.97149    	 -1.0000000    
  382316.38    	  0.0000000    	  159.97149    	 -1.0000000    
  500000.16    	  0.0000000    	  159.97149    	 -1.0000000    
  502989.03    	 -66850.000    	  147.75756    	 -1.0000000    
  506874.59    	 -66850.000    	  147.75757    	 -1.0000000    
  511925.81    	 -66850.000    	  147.75757    	 -1.0000000    
  518492.41    	 -66850.000    	  147.75757    	 -1.0000000    
  527029.00    	 -66850.000    	  147.75757    	 -1.0000000    
  538126.56    	 -66850.000    	  147.75757    	 -1.0000000    
  552553.38    	 -66850.000    	  147.75757    	 -1.0000000    
  571308.19    	 -66850.000    	  147.75757    	 -1.0000000    
  595689.50    	 -66850.000    	  147.75757    	 -1.0000000    
  627385.19    	 -66850.000    	  147.75757    	 -1.0000000    
  668589.56    	 -66850.000    	  147.75757    	 -1.0000000    
  722155.25    	 -66850.000    	  147.75757    	 -1.0000000    
  791790.62    	 -66850.000    	  147.75757    	 -1.0000000    
  882316.62    	 -66850.000    	  147.75757    	 -1.0000000    
  1000000.4    	 -66850.000    	  147.75757    	 -1.0000000    
  1000000.8    	 -66850.000    	  147.75421    	 -1.0000000    
  1000001.2    	 -66850.000    	  147.74696    	 -1.0000000    
  1000001.9    	 -66850.000    	  147.73541    	 -1.0000000    
  1000002.7    	 -66850.000    	  147.71904    	 -1.0000000    
  1000003.7    	 -66850.000    	  147.69709    	 -1.0000000    
  1000005.0    	 -66850.000    	  147.66837    	 -1.0000000    
  1000006.8    	 -66850.000    	  147.63114    	 -1.0000000    
  1000009.0    	 -66850.000    	  147.58308    	 -1.0000000    
  1000011.9    	 -66850.000    	  147.52118    	 -1.0000000    
  1000015.8    	 -66850.000    	  147.44162    	 -1.0000000    
  1000020.7    	 -66850.000    	  147.33958    	 -1.0000000    
  1000027.1    	 -66850.000    	  147.20904    	 -1.0000000    
  1000035.5    	 -66850.000    	  147.04254    	 -1.0000000    
  1000046.4    	 -66850.000    	  146.83087    	 -1.0000000    
  1000060.5    	 -66850.000    	  146.56290    	 -1.0000000    
  1000061.6    	 -66850.000    	  146.53603    	 -1.0000000    
  1000062.9    	 -66850.000    	  146.49842    	 -1.0000000    
  1000064.8    	 -66850.000    	  146.44875    	 -1.0000000    
  1000067.1    	 -66850.000    	  146.38424    	 -1.0000000    
  1000070.2    	 -66850.000    	  146.30090    	 -1.0000000    
  1000074.2    	 -66850.000    	  146.19348    	 -1.0000000    
  1000079.4    	 -66850.000    	  146.05531    	 -1.0000000    
  1000086.1    	 -66850.000    	  145.87802    	 -1.0000000    
  1000094.9    	 -66850.000    	  145.65117    	 -1.0000000    
  1000106.3    	 -66850.000    	  145.36192    	 -1.0000000    
  1000121.1    	 -66850.000    	  144.99470    	 -1.0000000    
  1000140.4    	 -66850.000    	  144.53090    	 -1.0000000    
  1000165.5    	 -66850.000    	  143.94881    	 -1.0000000    
  1000198.1    	 -66850.000    	  143.24868    	 -1.0000000    
  1000240.4    	 -66850.000    	  142.36383    	 -1.0000000    
  1000255.1    	 -66850.000    	  142.79302    	 -1.0000000    
  1000269.7    	 -66850.000    	  143.22498    	 -1.0000000    
  1000284.3    	 -66850.000    	  143.64052    	 -1.0000000    
  1000298.9    	 -66850.000    	  144.01587    	 -1.0000000    
  1000313.6    	 -66850.000    	  144.39815    	 -1.0000000    
  1000328.2    	 -66850.000    	  144.77081    	 -1.0000000    
  1000342.8    	 -66850.000    	  145.13189    	 -1.0000000    
  1000357.4    	 -66850.000    	  145.48227    	 -1.0000000    
  1000372.1    	 -66850.000    	  145.82391    	 -1.0000000    
  1000386.7    	 -66850.000    	  146.15742    	 -1.0000000    
  1000401.3    	 -66850.000    	  146.48327    	 -1.0000000    
  1000415.9    	 -66850.000    	  146.80188    	 -1.0000000    
  1000430.6    	 -66850.000    	  147.11361    	 -1.0000000    
  1000445.2    	 -66850.000    	  147.41878    	 -1.0000000    
  1000459.8    	 -66850.000    	  147.71770    	 -1.0000000    
  1000474.4    	 -66850.000    	  148.01063    	 -1.0000000    
  1000489.1    	 -66850.000    	  148.29779    	 -1.0000000    
  1000503.7    	 -66850.000    	  148.57941    	 -1.0000000    
  1000518.3    	 -66850.000    	  148.85570    	 -1.0000000    
  1000532.9    	 -66850.000    	  149.12684    	 -1.0000000    
  1000547.6    	 -66850.000    	  149.39300    	 -1.0000000    
  1000562.2    	 -66850.000    	  149.65433    	 -1.0000000    
  1000576.8    	 -66850.000    	  149.90956    	 -1.0000000    
  1000591.4    	 -66850.000    	  150.16008    	 -1.0000000    
  1000606.1    	 -66850.000    	  150.40607    	 -1.0000000    
  1000620.7    	 -66850.000    	  150.64781    	 -1.0000000    
  1000635.3    	 -66850.000    	  150.88579    	 -1.0000000    
  1000649.9    	 -66850.000    	  151.11969    	 -1.0000000    
  1000664.6    	 -66850.000    	  151.34957    	 -1.0000000    
  1000679.2    	 -66850.000    	  151.57553    	 -1.0000000    
  1000693.8    	 -66850.000    	  151.79766    	 -1.0000000    
  1000708.4    	 -66850.000    	  152.01605    	 -1.0000000    
  1000723.1    	 -66850.000    	  152.23083    	 -1.0000000    
  1000737.7    	 -66850.000    	  152.44206    	 -1.0000000    
  1000752.3    	 -66850.000    	  152.64985    	 -1.0000000    
  1000766.9    	 -66850.000    	  152.85435    	 -1.0000000    
  1000781.6    	 -66850.000    	  153.05564    	 -1.0000000    
  1000796.2    	 -66850.000    	  153.25379    	 -1.0000000    
  1000810.8    	 -66850.000    	  153.44886    	 -1.0000000    
  1000825.4    	 -66850.000    	  153.64093    	 -1.0000000    
  1000840.1    	 -66850.000    	  153.83006    	 -1.0000000    
  1000854.7    	 -66850.000    	  154.01632    	 -1.0000000    
  1000869.3    	 -66850.000    	  154.19976    	 -1.0000000    
  1000883.9    	 -66850.000    	  154.38044    	 -1.0000000    
  1000898.6    	 -66850.000    	  154.55841    	 -1.0000000    
  1000913.2    	 -66850.000    	  154.73374    	 -1.0000000    
  1000927.8    	 -66850.000    	  154.90646    	 -1.0000000    
  1000942.4    	 -66850.000    	  155.07664    	 -1.0000000    
  1000957.1    	 -66850.000    	  155.24433    	 -1.0000000    
  1000971.7    	 -66850.000    	  155.40961    	 -1.0000000    
