TIME	Discharge	H-Well	Concentration	Net-Inflow	Net-Outflow	Node0000031	Node0000325
  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    
  2988.8896    	 0.35652192E-09	  177.18741    	 -1.0000000    	 -16088.663    	  16088.663    	 -16088.663    	  16088.663    
  6874.4463    	 0.21282176E-09	  177.18747    	 -1.0000000    	 -16088.541    	  16088.541    	 -16088.541    	  16088.541    
  11925.670    	 0.14733814E-09	  177.18747    	 -1.0000000    	 -16088.581    	  16088.581    	 -16088.581    	  16088.581    
  18492.260    	 0.72759576E-10	  177.18749    	 -1.0000000    	 -16088.602    	  16088.602    	 -16088.602    	  16088.602    
  27028.826    	 0.24738256E-09	  177.18750    	 -1.0000000    	 -16088.608    	  16088.608    	 -16088.608    	  16088.608    
  38126.363    	 0.94587449E-09	  177.18751    	 -1.0000000    	 -16088.611    	  16088.611    	 -16088.611    	  16088.611    
  52553.160    	-0.47293724E-10	  177.18752    	 -1.0000000    	 -16088.615    	  16088.615    	 -16088.615    	  16088.615    
  71308.000    	-0.24556357E-09	  177.18752    	 -1.0000000    	 -16088.616    	  16088.616    	 -16088.616    	  16088.616    
  95689.281    	 0.35288394E-09	  177.18753    	 -1.0000000    	 -16088.619    	  16088.619    	 -16088.619    	  16088.619    
  127384.95    	 0.65483619E-10	  177.18754    	 -1.0000000    	 -16088.619    	  16088.619    	 -16088.619    	  16088.619    
  168589.33    	-0.52750693E-09	  177.18754    	 -1.0000000    	 -16088.621    	  16088.621    	 -16088.621    	  16088.621    
  222155.00    	-0.47293724E-10	  177.18755    	 -1.0000000    	 -16088.621    	  16088.621    	 -16088.621    	  16088.621    
  291790.38    	 0.28558134E-09	  177.18755    	 -1.0000000    	 -16088.623    	  16088.623    	 -16088.623    	  16088.623    
  382316.38    	 0.10550139E-09	  177.18755    	 -1.0000000    	 -16088.623    	  16088.623    	 -16088.623    	  16088.623    
  500000.16    	-0.12914825E-09	  177.18755    	 -1.0000000    	 -16088.624    	  16088.624    	 -16088.624    	  16088.624    
  502989.03    	 -20000.000    	  160.63204    	  338.60086    	 -20144.154    	  144.15361    	 -20144.154    	  144.15361    
  506874.59    	 -20000.000    	  160.63204    	  338.60081    	 -20144.166    	  144.16638    	 -20144.166    	  144.16638    
  511925.81    	 -20000.000    	  160.63205    	  338.60079    	 -20144.170    	  144.16974    	 -20144.170    	  144.16974    
  518492.41    	 -20000.000    	  160.63206    	  338.60078    	 -20144.175    	  144.17528    	 -20144.175    	  144.17528    
  527029.00    	 -20000.000    	  160.63207    	  338.60077    	 -20144.178    	  144.17770    	 -20144.178    	  144.17770    
  538126.56    	 -20000.000    	  160.63207    	  338.60076    	 -20144.181    	  144.18092    	 -20144.181    	  144.18092    
  552553.38    	 -20000.000    	  160.63207    	  338.60076    	 -20144.182    	  144.18225    	 -20144.182    	  144.18225    
  571308.19    	 -20000.000    	  160.63208    	  338.60076    	 -20144.184    	  144.18446    	 -20144.184    	  144.18446    
  595689.50    	 -20000.000    	  160.63208    	  338.60076    	 -20144.185    	  144.18530    	 -20144.185    	  144.18530    
  627385.19    	 -20000.000    	  160.63208    	  338.60075    	 -20144.187    	  144.18694    	 -20144.187    	  144.18694    
  668589.56    	 -20000.000    	  160.63209    	  338.60075    	 -20144.188    	  144.18751    	 -20144.188    	  144.18751    
  722155.25    	 -20000.000    	  160.63209    	  338.60075    	 -20144.189    	  144.18876    	 -20144.189    	  144.18876    
  791790.62    	 -20000.000    	  160.63209    	  338.60075    	 -20144.189    	  144.18917    	 -20144.189    	  144.18917    
  882316.62    	 -20000.000    	  160.63210    	  338.60075    	 -20144.190    	  144.19011    	 -20144.190    	  144.19011    
  1000000.4    	 -20000.000    	  160.63210    	  338.60075    	 -20144.190    	  144.19036    	 -20144.190    	  144.19036    
  1000000.8    	 -20000.000    	  160.62676    	  343.40701    	 -20127.348    	  127.34770    	 -20127.348    	  127.34770    
  1000001.2    	 -20000.000    	  160.61792    	  343.46203    	 -20115.873    	  115.87272    	 -20115.873    	  115.87272    
  1000001.9    	 -20000.000    	  160.60508    	  343.52042    	 -20108.259    	  108.25893    	 -20108.259    	  108.25893    
  1000002.7    	 -20000.000    	  160.58756    	  343.58709    	 -20102.927    	  102.92694    	 -20102.927    	  102.92694    
  1000003.7    	 -20000.000    	  160.56435    	  343.66719    	 -20098.471    	  98.470844    	 -20098.471    	  98.470844    
  1000005.0    	 -20000.000    	  160.53400    	  343.76583    	 -20093.449    	  93.449497    	 -20093.449    	  93.449497    
  1000006.8    	 -20000.000    	  160.49455    	  343.88817    	 -20087.048    	  87.047649    	 -20087.048    	  87.047649    
  1000009.0    	 -20000.000    	  160.44332    	  344.03950    	 -20078.311    	  78.311481    	 -20078.311    	  78.311481    
  1000011.9    	 -20000.000    	  160.37684    	  344.22529    	 -20066.310    	  66.309945    	 -20066.310    	  66.309945    
  1000015.8    	 -20000.000    	  160.29063    	  344.45180    	 -20049.564    	  49.564223    	 -20049.564    	  49.564223    
  1000020.7    	 -20000.000    	  160.17896    	  344.72549    	 -20026.220    	  26.219977    	 -20026.220    	  26.219977    
  1000027.1    	 -20000.000    	  160.03436    	  345.04837    	 -20000.000    	  0.0000000    	 -19994.216    	 -5.7843534    
  1000035.5    	 -20000.000    	  159.84741    	  345.39615    	 -20000.000    	  0.0000000    	 -19950.169    	 -49.831315    
  1000046.4    	 -20000.000    	  159.60617    	  345.79476    	 -20000.000    	  0.0000000    	 -19889.873    	 -110.12748    
  1000060.5    	 -20000.000    	  159.29561    	  346.24278    	 -20000.000    	  0.0000000    	 -19807.608    	 -192.39206    
  1000061.6    	 -20000.000    	  159.26404    	  346.32464    	 -20000.000    	  0.0000000    	 -19789.761    	 -210.23923    
  1000062.9    	 -20000.000    	  159.22118    	  346.42062    	 -20000.000    	  0.0000000    	 -19776.351    	 -223.64900    
