TIME	Discharge	H-Well	Concentration	Net-Inflow	Net-Outflow	Node0000040	Node0000334
  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    	  0.0000000    
  2988.8896    	-0.71850081E-10	  157.32578    	  175.00000    	 -3991.7694    	  3991.7694    	  3991.7694    	 -3991.7694    
  6874.4463    	 0.29876901E-09	  157.32583    	  175.00000    	 -3991.8692    	  3991.8692    	  3991.8692    	 -3991.8692    
  11925.670    	-0.11004886E-09	  157.32583    	  175.00000    	 -3991.8603    	  3991.8603    	  3991.8603    	 -3991.8603    
  18492.260    	-0.19645086E-09	  157.32584    	  175.00000    	 -3991.8558    	  3991.8558    	  3991.8558    	 -3991.8558    
  27028.826    	 0.13915269E-09	  157.32584    	  175.00000    	 -3991.8570    	  3991.8570    	  3991.8570    	 -3991.8570    
  38126.363    	 0.77761797E-10	  157.32585    	  175.00000    	 -3991.8593    	  3991.8593    	  3991.8593    	 -3991.8593    
  52553.160    	-0.22737368E-11	  157.32585    	  175.00000    	 -3991.8613    	  3991.8613    	  3991.8613    	 -3991.8613    
  71308.000    	 0.28512659E-09	  157.32585    	  175.00000    	 -3991.8637    	  3991.8637    	  3991.8637    	 -3991.8637    
  95689.281    	 0.65028871E-10	  157.32586    	  175.00000    	 -3991.8653    	  3991.8653    	  3991.8653    	 -3991.8653    
  127384.95    	 0.23601388E-09	  157.32586    	  175.00000    	 -3991.8674    	  3991.8674    	  3991.8674    	 -3991.8674    
  168589.33    	-0.12278178E-09	  157.32586    	  175.00000    	 -3991.8687    	  3991.8687    	  3991.8687    	 -3991.8687    
  222155.00    	-0.24601832E-09	  157.32586    	  175.00000    	 -3991.8703    	  3991.8703    	  3991.8703    	 -3991.8703    
  291790.38    	 0.47384674E-09	  157.32586    	  175.00000    	 -3991.8713    	  3991.8713    	  3991.8713    	 -3991.8713    
