ID,x_coord,y_coord,Lead
integer,double,double,double
1,119.504,509.335,2.15
2,120.447,510.002,2.48
3,120.602,511.482,33.2
4,121.604,510.94,2.21
5,121.848,511.929,2.08
6,122.131,510.683,2.25
7,121.98,509.993,2.13
8,121.769,508.794,2.48
9,120.426,507.248,3.45
10,119.201,506.372,4.3
11,119.32,507.456,2.06
12,118.997,507.992,2.24
13,118.123,508.007,2.02
14,123.34,511.173,1.93
15,123.63,508.081,1.71
16,120.518,508.675,2.56
17,122.874,506.552,2.23
18,122.615,505.19,3.71
19,123.402,505.277,2.38
20,123.407,505.974,7.52
21,124.158,507.284,2.21
22,124.609,506.243,2.91
23,126.075,507.011,5.18
24,126.605,507.06,2.65
25,127.755,508.223,5.3
26,118.513,506.58,4.6
27,112.778,501.148,6.96
28,111.618,498.899,2.96
29,113.433,498.943,25.5
30,112.929,497.597,4.61
31,112.129,496.601,10.1
32,113.807,494.983,2.95
33,113.066,493.755,2.5
34,112.655,493.153,2.69
35,111.556,491.919,2.53
36,111.975,491.561,2.4
37,112.37,491.973,2.22
38,112.366,491.094,2.09
39,110.973,491.386,2.06
40,113.746,490.839,2.31
41,113.959,491.309,2.3
42,115.407,493.667,3.2
43,114.126,493.502,2.98
44,114.375,491.664,2.2
45,115.472,490.555,2.1
46,113.594,487.824,2.31
47,112.234,487.082,2.15
48,110.324,487.012,2.75
49,110.119,486.732,2.6
50,109.847,486.053,2.59
51,116.525,492.843,2.1
52,117.75,492.96,2.3
53,118.533,494.173,2.18
54,119.095,493.144,1.79
55,120.404,491.544,3.17
56,120.02,490.302,3
57,119.107,489.865,2.33
58,118.894,488.352,1.91
59,118.658,487.516,1.81
60,117.337,487.49,2.21
61,117.516,487.121,2.45
62,116.008,489.363,2.43
63,116.738,490.288,2.61
64,117.212,489.928,1.82
65,117.202,490.729,1.48
66,121.842,494.336,1.9
67,123.43,499.081,2.94
68,125.59,497.97,2.19
69,127.473,498.502,1.09
70,127.873,498.414,1.81
71,129.182,498.936,1.98
72,128.385,500.003,2.32
73,125.87,499.366,2.37
74,125.175,500.287,12.1
75,125.696,500.365,2.88
76,133.273,504.716,3.05
77,133.833,505.173,2.36
78,134.309,505.436,1.73
79,134.246,503.92,2.44
80,133.54,502.827,2.1
81,135.104,503.653,1.94
82,126.534,497.342,2.01
83,121.115,491.063,2.18
84,119.257,492.255,2.7
85,117.473,489.28,1.93
86,116.556,491.406,2.24
87,114.838,491.342,3.95
88,115.983,488.484,2.32
89,113.101,488.95,2.15
90,112.082,498.626,2.37
91,113.621,500.78,2.79
92,113.313,501.368,27.6
93,125.058,507.372,3.61
94,127.413,507.828,2.74
95,121.525,506.464,3.61
96,119.912,507.95,1.98
97,118.522,509.148,2.41
98,117.882,513.039,2.09
99,111.185,503.398,3.86
100,113.336,505.146,2.19
101,143.012,499.074,4.06
102,123.948,483.656,8.9
