Moisture,OM,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
double,double,double,double,double,double,double
out,out,in,in,in,in,in
0.200478418,3.5,-0.713687792,0.579534185,0.243446574,0.25386112,0.066432109
0.201843655,3.5,-0.891080171,0.561197121,0.252064755,0.27066958,0.039413591
0.258043008,3.6,-1.671192756,0.540842398,0.35370806,0.354483537,0.013369877
0.275776865,3.7,-0.506968824,0.414987719,0.458771371,0.149064914,0.044825631
0.242833514,3.7,-0.171068692,0.474703076,0.317740189,0.170697042,0.042690373
0.249158894,3.7,-0.795688365,0.432587424,0.35612866,0.203419974,0.030367468
0.239169937,3.7,-1.641010115,0.363783309,0.382790313,0.271580283,0.005255148
0.23683577,3.5,-0.705038881,0.639640574,0.268206579,0.322273226,0.05560414
0.242751727,3.4,-0.578667397,0.418094902,0.311808566,0.221940909,0.012980953
0.215621425,3.5,-0.548149173,0.454635315,0.289484098,0.23005405,0.02037948
0.248157063,3.5,-0.267823499,0.220924572,0.384163569,0.121665201,-0.022167144
0.239037592,3.6,0.208438377,0.250642512,0.343744051,0.09088434,0.02098651
0.231493543,3.5,-0.664798591,0.266622197,0.302151592,0.199431735,0.042615542
0.227070767,3.5,-0.981362716,0.277790558,0.37309476,0.192668387,0.005314699
0.249480129,3.5,-1.035911304,0.220071785,0.347258019,0.190944959,-0.038750115
0.239463799,3.4,-1.090230934,0.120584585,0.478357683,0.108025485,-0.031312531
0.264432684,3.5,-1.248716205,0.268915697,0.384092618,0.20945922,0.033596999
0.243740592,3.6,-1.102631739,0.21184042,0.428273986,0.152978161,-0.052129119
0.240442899,3.5,-0.621127201,0.234676405,0.334384609,0.156792892,-0.008197366
0.221659621,3.3,0.013455817,0.143991826,0.270976467,0.128587928,-0.071586794
0.203969434,3.1,0.775983361,-0.084483381,0.280284978,-0.044128684,-0.056541561
0.196963287,3.2,0.548448045,0.338430965,0.212083144,0.173266682,-0.02323455
0.22384492,3.4,0.302087309,0.033967961,0.301354634,0.020894016,0.010143657
0.241353259,3.4,-0.216747141,0.159894194,0.350372191,0.090986294,0.004236676
0.205033207,3.1,0.660295585,0.10185486,0.272613599,0.034077256,-0.066464431
0.191571963,3.3,0.390897884,-0.091485025,0.27641361,-0.001314181,-0.013478794
0.195167954,3,1.74903224,-0.029437885,0.29334507,-0.091921021,-0.004377961
0.221823115,2.8,0.861800704,0.132901121,0.269428182,0.037629289,-0.039761077
0.182539767,2.5,2.160984804,-0.259506755,0.34520457,-0.227899146,0.056232346
0.208271529,2.7,0.686589046,-0.178925459,0.261955263,-0.043584124,-0.021855924
0.178562144,2.7,0.092893279,-0.037385318,0.240881577,0.090567649,-0.005916596
0.203374862,2.6,1.141960705,-0.153203198,0.285823713,-0.113149447,0.051423669
0.221073227,2.7,-0.293433959,-0.201303086,0.210220089,0.182045367,-0.069399527
0.213156098,2.5,1.104001251,-0.213003814,0.161154128,0.068034427,-0.02860223
0.226321374,2.5,0.751778625,-0.060412849,0.215540065,0.094017223,-0.03159484
0.222447425,2.4,0.827741561,-0.182787726,0.325758735,-0.048433815,-0.02753416
0.232523103,2.4,1.285045508,-0.279464081,0.412718917,-0.202491381,0.047677277
0.208009859,2.5,1.597559922,-0.26649924,0.387346619,-0.196920809,-0.004527106
0.224332891,2.4,0.872396491,-0.059169992,0.274188751,-0.010875019,0.007408034
0.233746773,2.6,1.867197553,-0.181610898,0.280961936,-0.072673081,-0.000690466
0.17942279,2.6,1.722112936,-0.218259651,0.298836765,-0.119491758,0.010244349
0.21991992,2.5,0.662019466,-0.13780688,0.275942824,-0.00258267,-0.015039747
0.225064221,2.5,0.9086002,-0.090071424,0.284079347,-0.054139,0.021602878
0.234714555,2.5,1.223449957,-0.072989511,0.299960133,-0.051116591,-0.005271536
0.198378997,2.6,0.397016144,-0.176558116,0.315361109,-0.031474074,-0.009614529
0.2154967,2.6,0.806926917,-0.244245056,0.376919183,-0.084136498,-0.028310615
0.197774187,2.4,1.82545145,-0.1692393,0.30368044,-0.196743874,0.044013081
0.211305517,2.6,1.405852666,-0.221374033,0.336283943,-0.144616722,-0.036489265
0.221617126,2.7,0.730388755,0.079060942,0.239552129,0.043391136,-0.030523322
0.220169707,2.7,1.128984109,0.050616771,0.198041821,0.008222534,0.059269066
0.202821759,2.8,0.472870078,-0.114863708,0.339084739,-0.023078753,-0.006372828
0.211069109,2.7,0.678320982,-0.165446459,0.314368133,-0.075167463,0.029429881
0.196729132,2.6,0.814076691,-0.179496143,0.285203563,-0.047301331,0.035191542
0.215794092,2.7,0.111841739,-0.142667833,0.317723479,0.004123923,-0.039143373
0.208238302,3,0.176751867,0.057450531,0.269494294,0.132011324,-0.008237307
0.201860704,3.1,0.114050805,-0.047842762,0.303541341,0.050013655,0.014667118
0.239315385,3.4,-0.823720238,0.063105231,0.407206738,0.141755858,0.038349479
