Gridid,Ph,N_a_,OM,P,Ca,Mg,K,Ave_vshall,Ave_vdeep,Ave_elev,Ave_em,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60,Band61,Band62,Band63,Band64,Band65,Band66,Band67,Band68,Band69,Band70,Band71,Band72,Band73,Band74,Band75,Band76,Band77,Band78,Band79,Band80,Band81,Band82,Band83,Band84,Band85,Band86,Band87,Band88,Band89,Band90,Band91,Band92,Band93,Band94,Band95,Band96,Band97,Band98,Band99,Band100,Band101,Band102,Band103,Band104,Band105,Band106,Band107,Band108,Band109,Band110,Band111,Band112,Band113,Band114,Band115,Band116,Band117,Band118,Band119,Band120
int,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
na,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
1,6.6,0.5,2.1,30,4500,366,236,11.8581,21.7419,292.1148,38.2733,10.6422,10.3158,10.6715,10.857,10.7259,10.644,10.8949,11.0047,11.219,11.6079,10.8283,11.264,11.7476,11.2278,11.6584,11.6616,11.9907,12.2427,12.1466,12.4016,12.4181,12.6952,12.801,13.0761,12.959,13.1027,13.2541,13.5179,13.398,13.7017,13.7861,13.7099,13.9746,14.2681,14.2057,14.282,14.3352,14.511,14.5173,14.5571,14.8374,14.9565,14.9727,14.9698,14.9889,15.0794,15.171,15.3468,15.348,15.5031,15.6124,15.7729,15.8612,16.0049,15.9653,16.216,16.7056,15.6975,16.2537,16.36,16.4907,16.5691,16.5963,16.7852,16.9072,17.1088,18.2854,16.5738,16.9765,17.3273,17.6048,17.708,17.6871,18.0511,18.0882,18.2985,19.4641,18.7217,18.9065,19.0808,19.1303,18.6696,19.0446,19.0373,18.9586,18.8578,19.0399,19.2761,19.2713,19.6402,26.3534,18.8362,17.6045,19.3157,20.1814,20.3191,20.5804,20.6931,21.0117,21.29,21.5667,21.7753,21.7797,22.172,22.3717,22.6358,22.9733,23.4951,24.7784,24.6526,24.2837,25.2153,25.3589,25.3293,25.6277,25.4811,25.8425,26.1491,26.3389,26.7573
2,6.1,2.5,2.4,20,4766,612,268,17.46,32.765,292.6938,41.1975,11.8537,11.5156,11.9038,12.0979,11.9582,11.8659,12.1546,12.2514,12.4715,12.865,11.9464,12.3943,12.8326,12.2768,12.7271,12.6646,13.0145,13.2577,13.1089,13.3927,13.4047,13.7104,13.8312,14.108,14.0062,14.1778,14.3656,14.6756,14.5954,14.9507,15.0762,15.0258,15.338,15.6656,15.6231,15.7176,15.7782,15.9874,16.0136,16.0592,16.3727,16.5177,16.569,16.5782,16.607,16.7403,16.8312,17.0155,17.0188,17.1898,17.3146,17.4957,17.6103,17.8024,17.7698,18.0521,18.6086,17.4917,18.1349,18.2664,18.4278,18.5244,18.5536,18.7509,18.8726,19.0758,20.3348,18.3367,18.6934,18.9502,19.0755,18.9901,18.7784,18.9931,18.861,18.9175,19.96,19.0586,19.0927,19.1424,19.0687,18.5019,18.7801,18.6999,18.5532,18.3998,18.552,18.7651,18.7429,19.0797,25.6226,18.3483,17.0955,18.7551,19.6006,19.7372,19.9994,20.119,20.4414,20.7174,20.983,21.178,21.1852,21.5822,21.7887,22.0522,22.3798,22.8822,24.1383,24.0247,23.6737,24.5856,24.7234,24.6901,24.973,24.823,25.1911,25.4904,25.6829,26.097
3,5.9,2.5,2.4,36,5101,749,288,19.5611,31.8,293.2353,37.3424,12.1789,11.8377,12.243,12.4372,12.2966,12.1975,12.4938,12.577,12.8023,13.1996,12.2671,12.6959,13.185,12.5806,13.0748,12.9682,13.3201,13.5834,13.4004,13.7079,13.7078,14.0111,14.1207,14.4348,14.3431,14.5174,14.7171,15.0341,14.9606,15.3234,15.4604,15.4112,15.7321,16.0717,16.0229,16.1243,16.1879,16.4004,16.4191,16.4695,16.7891,16.9311,16.9907,17.0016,17.0294,17.1572,17.2526,17.4402,17.4429,17.6134,17.7413,17.9237,18.0445,18.2448,18.2166,18.5094,19.07,17.941,18.5966,18.7303,18.8973,18.9952,19.0261,19.2266,19.3484,19.5524,20.8268,18.7845,19.1396,19.3853,19.4928,19.3845,19.1512,19.3479,19.1965,19.2329,20.2691,19.345,19.3674,19.3993,19.3108,18.7267,18.9935,18.9007,18.743,18.5844,18.7321,18.9413,18.9195,19.2547,25.8357,18.5539,17.2971,18.944,19.7855,19.9225,20.1876,20.3075,20.6329,20.9119,21.1808,21.382,21.3918,21.7938,22.0074,22.2758,22.6047,23.115,24.3918,24.2917,23.9415,24.8635,25.0019,24.9715,25.2558,25.1096,25.4764,25.785,25.9817,26.402
4,6.2,2,2.9,21,5014,577,260,19.1053,33.4053,293.8375,36.235,12.1743,11.8297,12.2328,12.4232,12.278,12.1791,12.4673,12.553,12.7686,13.1605,12.2151,12.6504,13.1036,12.5093,12.9637,12.8808,13.224,13.4672,13.2762,13.5792,13.5695,13.8634,13.9653,14.2761,14.1828,14.354,14.5507,14.8652,14.792,15.1533,15.2904,15.2404,15.5596,15.8971,15.8477,15.9481,16.0106,16.2202,16.2383,16.2878,16.6078,16.7505,16.8102,16.8226,16.8541,16.9779,17.0765,17.2624,17.2659,17.4331,17.5612,17.7449,17.8686,18.0686,18.0452,18.3381,18.8935,17.7811,18.4312,18.5686,18.7357,18.8345,18.8669,19.0668,19.1885,19.3904,20.6497,18.6243,18.9647,19.1921,19.2828,19.1615,18.9152,19.0948,18.9334,18.9603,19.9732,19.0604,19.0733,19.0988,19.0084,18.4327,18.6908,18.5971,18.4401,18.2836,18.4317,18.6407,18.6201,18.9479,25.4238,18.3147,17.0523,18.6565,19.4815,19.6175,19.8821,20.0058,20.3287,20.6067,20.8719,21.071,21.0823,21.4828,21.697,21.9664,22.2926,22.7986,24.0604,23.9717,23.6327,24.544,24.6761,24.6507,24.9326,24.7916,25.1539,25.4588,25.6627,26.0795
5,6.1,2.5,2.7,23,4610,520,230,17.1421,31.8368,294.2937,33.7119,12.4129,12.0614,12.4628,12.6546,12.501,12.3901,12.6906,12.753,12.9839,13.3804,12.3839,12.8237,13.2855,12.6692,13.1373,13.0465,13.3842,13.6303,13.4172,13.7238,13.7129,14.0189,14.126,14.4135,14.306,14.4746,14.6649,14.9777,14.8984,15.2617,15.3931,15.3427,15.6618,15.9949,15.9505,16.0437,16.1023,16.3154,16.3401,16.3815,16.7011,16.8502,16.9111,16.9205,16.9479,17.0884,17.1804,17.3615,17.3664,17.5382,17.6633,17.8479,17.9683,18.176,18.1453,18.4343,19.0094,17.8683,18.5295,18.6649,18.8356,18.9386,18.9665,19.1631,19.2851,19.4875,20.762,18.7012,19.0372,19.2634,19.3477,19.2155,18.9548,19.1341,18.9703,18.9935,20.0072,19.0844,19.0939,19.1246,19.0322,18.4478,18.7037,18.6125,18.4556,18.2956,18.4404,18.6488,18.6251,18.9591,25.472,18.3191,17.0573,18.6607,19.4937,19.6294,19.8916,20.0125,20.332,20.6117,20.8802,21.0813,21.0933,21.4952,21.7054,21.9733,22.3037,22.8141,24.0802,23.9944,23.6506,24.5627,24.6954,24.6745,24.9606,24.8221,25.1799,25.4816,25.6904,26.1134
6,6,2,2.8,21,4428,470,290,15.1684,27.5053,294.51,31.3235,12.5324,12.1774,12.5813,12.7752,12.614,12.4908,12.7993,12.8443,13.0843,13.4852,12.4677,12.9164,13.3738,12.7558,13.2414,13.1436,13.4829,13.725,13.5025,13.8102,13.7946,14.0964,14.1957,14.4917,14.3784,14.5443,14.7311,15.0399,14.9554,15.316,15.445,15.3898,15.7063,16.0391,15.9923,16.0806,16.1369,16.3497,16.3723,16.4086,16.728,16.8751,16.9369,16.9431,16.9668,17.1075,17.1996,17.378,17.3829,17.5542,17.6761,17.8611,17.9812,18.1915,18.1601,18.4474,19.0296,17.8814,18.5441,18.678,18.851,18.956,18.9829,19.1789,19.3013,19.5038,20.7821,18.7174,19.0505,19.2767,19.3617,19.2303,18.9675,19.1487,18.9877,19.0124,20.0295,19.1087,19.1167,19.15,19.0573,18.467,18.7173,18.6236,18.4657,18.3044,18.4446,18.6521,18.6276,18.9636,25.4994,18.3862,17.1083,18.6796,19.5086,19.6467,19.9093,20.0316,20.3504,20.6329,20.9063,21.1149,21.1312,21.5367,21.75,22.0233,22.358,22.8773,24.1613,24.0938,23.7483,24.6711,24.7981,24.789,25.0812,24.949,25.3031,25.61,25.828,26.2604
7,6.1,2,2.8,25,4421,435,235,16.03,25.31,294.5286,29.659,12.7662,12.4079,12.817,13.0079,12.8425,12.715,13.0329,13.1111,13.3284,13.7229,12.7044,13.1484,13.5814,12.9919,13.4619,13.3395,13.7009,13.9351,13.7367,14.0262,14.0118,14.2938,14.381,14.6861,14.5786,14.7403,14.9276,15.2334,15.1511,15.5039,15.6377,15.5787,15.8935,16.2304,16.1739,16.2666,16.321,16.531,16.5472,16.59,16.9113,17.0516,17.1172,17.123,17.1503,17.2811,17.3783,17.5593,17.5625,17.7286,17.8539,18.0416,18.1667,18.3738,18.3501,18.6437,19.2162,18.0829,18.7433,18.8817,19.0561,19.1578,19.1886,19.3877,19.5111,19.7137,20.9877,18.9227,19.2539,19.4669,19.5445,19.4073,19.1435,19.318,19.1492,19.174,20.1905,19.273,19.2887,19.3199,19.2337,18.6494,18.906,18.814,18.6589,18.5034,18.6492,18.8626,18.8419,19.1783,25.733,18.614,17.3408,18.9114,19.7335,19.8724,20.136,20.2616,20.5821,20.8663,21.1385,21.3495,21.3668,21.7791,21.9972,22.2752,22.6123,23.1318,24.4305,24.3664,24.025,24.9537,25.081,25.0719,25.3689,25.2392,25.5918,25.902,26.1272,26.5638
8,6.3,1.5,2.9,23,4641,452,226,14.7333,23.4333,294.3,31.2177,12.7907,12.4311,12.8397,13.0365,12.8669,12.7308,13.0591,13.1117,13.3528,13.7579,12.7131,13.1716,13.6312,13.0082,13.4877,13.3889,13.7347,13.9792,13.7647,14.063,14.0454,14.3348,14.4261,14.7326,14.6182,14.7832,14.969,15.2775,15.1919,15.5493,15.6794,15.6198,15.9362,16.2701,16.2197,16.3039,16.3571,16.5683,16.5872,16.619,16.9403,17.082,17.1456,17.1454,17.1663,17.3053,17.3934,17.5694,17.5684,17.7365,17.8552,18.0385,18.1572,18.3661,18.3324,18.6187,19.2023,18.0429,18.7075,18.8386,19.0097,19.1107,19.1343,19.3274,19.4474,19.6478,20.9299,18.8503,19.1772,19.395,19.4707,19.3294,19.0557,19.229,19.0598,19.0793,20.0963,19.1781,19.1828,19.2189,19.1282,18.5374,18.7898,18.7004,18.5471,18.3906,18.5332,18.7451,18.7235,19.0627,25.6377,18.5363,17.2423,18.7935,19.6174,19.7566,20.0205,20.1425,20.4621,20.7452,21.022,21.234,21.2526,21.6639,21.8814,22.1566,22.4945,23.0209,24.3246,24.2734,23.9257,24.8574,24.9801,24.9782,25.2762,25.1456,25.4978,25.8098,26.0352,26.4754
