norm_ph,norm_N,norm_p,norm_k,norm_Carbon,norm_agd,norm_potential,norm_MayRain,norm_JuneRain,norm_July1Rain,norm_July2Rain,norm_AugRain,norm_PreRain,norm_Planting_den,norm_SoyFac,actualYield
double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out
0.233333,0.1,0.124365,0.307254,0.204,0.517123,0.1,0.124545,0.45514,0.147188,0.407928,0.1044,0.502241,0.1,0.1,0.245414
0.144444,0.1,0.108122,0.253368,0.348,0.517123,0.1,0.124545,0.45514,0.147188,0.407928,0.1044,0.502241,0.1,0.1,0.267514
0.766667,0.633333,0.298985,0.307254,0.556,0.593151,0.1,0.294545,0.452336,0.252538,0.276982,0.336744,0.443963,0.5,0.1,0.589282
0.188889,0.1,0.132487,0.182902,0.364,0.546575,0.1,0.212727,0.405607,0.242661,0.182864,0.673817,0.396281,0.1,0.1,0.307735
0.722222,0.1,0.408629,0.348705,0.756,0.457534,0.37586,0.4,0.562617,0.268999,0.325064,0.375468,0.308253,0.3,0.1,0.374033
0.366667,0.9,0.506091,0.547668,0.524,0.515068,0.37586,0.19,0.163551,0.316187,0.893862,0.376348,0.562557,0.9,0.1,0.524309
0.144444,0.1,0.108122,0.174611,0.236,0.672603,0.37586,0.398182,0.500935,0.146091,0.18798,0.544444,0.222669,0.1,0.1,0.232597
0.588889,0.633333,0.262437,0.406736,0.236,0.490411,0.568963,0.56,0.341121,0.374348,0.319949,0.283938,0.84539,0.9,0.1,0.555249
0.766667,0.1,0.331472,0.350777,0.54,0.490411,0.568963,0.56,0.341121,0.374348,0.319949,0.283938,0.84539,0.5,0.1,0.462431
0.322222,0.1,0.120305,0.265803,0.22,0.758904,0.568963,0.330909,0.381308,0.451166,0.431458,0.184488,0.374274,0.1,0.1,0.303315
0.322222,0.1,0.136548,0.332124,0.212,0.760959,0.734479,0.202727,0.1,0.1,0.453964,0.168647,0.377942,0.1,0.1,0.206077
0.411111,0.633333,0.441117,0.464767,0.38,0.760959,0.734479,0.202727,0.1,0.1,0.453964,0.168647,0.377942,0.9,0.1,0.409392
0.811111,0.1,0.347716,0.423316,0.66,0.580137,0.762065,0.798182,0.370093,0.313992,0.248338,0.224092,0.427254,0.5,0.1,0.586188
0.722222,0.1,0.420812,0.406736,0.74,0.580137,0.762065,0.798182,0.370093,0.313992,0.248338,0.224092,0.427254,0.3,0.1,0.391713
0.633333,0.633333,0.416751,0.415026,0.308,0.9,0.817237,0.9,0.172897,0.353498,0.11023,0.254015,0.617575,0.9,0.1,0.49779
0.722222,0.9,0.400508,0.522798,0.62,0.386986,0.9,0.270909,0.218692,0.224005,0.220716,0.311221,0.655476,0.9,0.1,0.723204
0.722222,0.1,0.453299,0.448187,0.628,0.332877,0.9,0.345455,0.279439,0.36118,0.1,0.849835,0.399949,0.3,0.1,0.387293
0.9,0.633333,0.23401,0.325907,0.2888,0.575342,0.1,0.409091,0.475701,0.737586,0.284143,0.270737,0.1,0.5,0.1,0.595028
0.766667,0.9,0.558883,0.452332,0.5904,0.575342,0.1,0.409091,0.475701,0.737586,0.284143,0.270737,0.1,0.9,0.1,0.661326
0.233333,0.1,0.132487,0.211917,0.284,0.603425,0.37586,0.463636,0.44486,0.463237,0.463171,0.344664,0.378757,0.1,0.1,0.259116
0.677778,0.1,0.294924,0.298964,0.5656,0.603425,0.37586,0.463636,0.44486,0.463237,0.463171,0.344664,0.378757,0.5,0.1,0.48011
0.322222,0.1,0.132487,0.286528,0.284,0.606164,0.568963,0.386364,0.599065,0.499451,0.300512,0.269857,0.396689,0.1,0.1,0.11768
0.233333,0.1,0.1,0.184974,0.26,0.606164,0.568963,0.386364,0.599065,0.499451,0.300512,0.269857,0.396689,0.1,0.1,0.170718
0.9,0.1,0.416751,0.435751,0.692,0.473288,0.1,0.730909,0.700935,0.20535,0.575703,0.210891,0.527101,0.5,0.1,0.384641
0.322222,0.1,0.104061,0.1,0.252,0.593836,0.1,0.43,0.620561,0.9,0.199233,0.405391,0.667702,0.1,0.1,0.197238
